scenario,method,translation_p95_px,rotation_p95_deg,scale_delta_p95,corner_rmse_px,quad_iou,aspect_error_pct,edge_preservation_f1,gradient_ratio,fft_orthogonality_error_deg
Static page,Frame-wise detection,1.42,0.053,0.0013,4.8,0.947,1.21,0.88,0.91,0.76
Static page,Content optical flow,0.61,0.02,0.00055,3.2,0.965,0.82,0.91,0.91,0.67
Static page,Reference tracking,0.078,0.0015,7.9e-05,1.1,0.992,0.21,0.96,0.96,0.58
Static page,Reference + residual align,0.055,0.0012,5.2e-05,1.0,0.994,0.19,0.97,0.96,0.54
Scrolling page,Frame-wise detection,2.35,0.082,0.0021,6.4,0.928,2.1,0.82,0.91,0.88
Scrolling page,Content optical flow,1.78,0.061,0.0016,9.8,0.891,2.85,0.76,0.91,0.95
Scrolling page,Reference tracking,0.36,0.011,0.00034,1.9,0.984,0.48,0.93,0.96,0.7
Scrolling page,Reference + residual align,0.31,0.01,0.00031,1.8,0.985,0.45,0.94,0.96,0.68
In-screen video,Frame-wise detection,1.96,0.071,0.0018,5.8,0.936,1.76,0.84,0.91,0.81
In-screen video,Content optical flow,2.24,0.087,0.0023,12.7,0.854,3.35,0.69,0.91,1.04
In-screen video,Reference tracking,0.42,0.014,0.00041,2.2,0.979,0.62,0.91,0.96,0.73
In-screen video,Reference + residual align,0.37,0.013,0.00037,2.1,0.98,0.58,0.92,0.96,0.71
Weak-border slide,Frame-wise detection,2.86,0.104,0.0028,8.9,0.904,3.1,0.75,0.91,0.64
Weak-border slide,Content optical flow,1.15,0.041,0.001,5.6,0.936,1.8,0.83,0.91,0.71
Weak-border slide,Reference tracking,0.54,0.017,0.00048,2.8,0.97,0.8,0.89,0.96,0.52
Weak-border slide,Reference + residual align,0.49,0.016,0.00045,2.7,0.972,0.76,0.9,0.96,0.5
Moire / glare,Frame-wise detection,3.4,0.132,0.0033,11.2,0.872,4.4,0.64,0.91,1.35
Moire / glare,Content optical flow,2.92,0.118,0.003,15.6,0.821,5.2,0.57,0.91,1.5
Moire / glare,Reference tracking,0.88,0.031,0.00084,4.6,0.941,1.3,0.8,0.96,0.92
Moire / glare,Reference + residual align,0.82,0.03,0.00081,4.5,0.942,1.25,0.81,0.96,0.9
