frame,method,translation_px
0,Frame-wise detection,1.3596053935974455
1,Frame-wise detection,1.1293673637946366
2,Frame-wise detection,1.4343131219735252
3,Frame-wise detection,1.4411855684065302
4,Frame-wise detection,1.5724703974623382
5,Frame-wise detection,1.5679228087302368
6,Frame-wise detection,1.6998244319712
7,Frame-wise detection,1.6305665687126594
8,Frame-wise detection,1.6284465441539568
9,Frame-wise detection,1.7166664576153914
10,Frame-wise detection,1.7213827960477202
11,Frame-wise detection,1.6785895486158147
12,Frame-wise detection,1.6805371426676288
13,Frame-wise detection,1.724843428769098
14,Frame-wise detection,1.7014428017032763
15,Frame-wise detection,1.598718143793752
16,Frame-wise detection,1.5677533383630464
17,Frame-wise detection,1.4359474651527762
18,Frame-wise detection,1.593649030129598
19,Frame-wise detection,1.4230321744889203
20,Frame-wise detection,1.4565198756111852
21,Frame-wise detection,1.3385519392553715
22,Frame-wise detection,1.366068746458825
23,Frame-wise detection,1.2775961478208717
24,Frame-wise detection,1.1417227720241592
25,Frame-wise detection,1.151321061902431
26,Frame-wise detection,0.9491387679016692
27,Frame-wise detection,1.030302340988161
28,Frame-wise detection,0.8206134594559009
29,Frame-wise detection,0.8916250987902481
30,Frame-wise detection,0.9042364632127623
31,Frame-wise detection,0.8314208823858517
32,Frame-wise detection,0.7824350656725348
33,Frame-wise detection,0.7516672067788768
34,Frame-wise detection,0.7841383516104021
35,Frame-wise detection,0.8815515849517783
36,Frame-wise detection,0.8945036477126506
37,Frame-wise detection,0.8562262651329099
38,Frame-wise detection,0.8357968732120048
39,Frame-wise detection,0.9965155818412285
40,Frame-wise detection,0.9205901840376843
41,Frame-wise detection,1.0321770842689895
42,Frame-wise detection,1.0801733231789474
43,Frame-wise detection,1.2316552853055356
44,Frame-wise detection,1.2652950236103486
45,Frame-wise detection,1.3429048036836617
46,Frame-wise detection,1.3942652561826312
47,Frame-wise detection,1.3973660450185907
48,Frame-wise detection,1.5264604146689673
49,Frame-wise detection,1.6303915915277216
50,Frame-wise detection,1.5887265123500482
51,Frame-wise detection,1.6672912852859827
52,Frame-wise detection,1.652337092465721
53,Frame-wise detection,1.74386936479811
54,Frame-wise detection,1.7356144713646129
55,Frame-wise detection,1.7525469197496633
56,Frame-wise detection,1.7161165907140652
57,Frame-wise detection,1.7797544020804854
58,Frame-wise detection,1.637039907456593
59,Frame-wise detection,1.607686927467513
60,Frame-wise detection,1.553557428335389
61,Frame-wise detection,1.5801509089687622
62,Frame-wise detection,1.4545937736157288
63,Frame-wise detection,1.3967813601687824
64,Frame-wise detection,1.41883900732981
65,Frame-wise detection,1.3821028966757043
66,Frame-wise detection,1.2827540328970186
67,Frame-wise detection,1.023257302164142
68,Frame-wise detection,1.0643158287839658
69,Frame-wise detection,0.9970319711338969
70,Frame-wise detection,0.9327398293161735
71,Frame-wise detection,0.929461222564906
72,Frame-wise detection,1.017748688185925
73,Frame-wise detection,0.8519745416370564
74,Frame-wise detection,0.7957474657796559
75,Frame-wise detection,0.8596150234782101
76,Frame-wise detection,0.8084551562989406
77,Frame-wise detection,0.8072452747718258
78,Frame-wise detection,0.7636714906581142
79,Frame-wise detection,0.8187180069748239
80,Frame-wise detection,0.8676017190005489
81,Frame-wise detection,0.7578942722343223
82,Frame-wise detection,0.8146918935415394
83,Frame-wise detection,1.0220120617775381
84,Frame-wise detection,1.059122461395248
85,Frame-wise detection,1.0346658782099958
86,Frame-wise detection,1.064143904990543
87,Frame-wise detection,1.1770536287976907
88,Frame-wise detection,1.1806569335499675
89,Frame-wise detection,1.2959135246917495
90,Frame-wise detection,1.4780774869463815
91,Frame-wise detection,1.4469994771823804
92,Frame-wise detection,1.565264058861663
93,Frame-wise detection,1.5331437625353017
94,Frame-wise detection,1.6138394127383586
95,Frame-wise detection,1.7130366955097884
96,Frame-wise detection,1.5802033822766692
97,Frame-wise detection,1.6616232723467892
98,Frame-wise detection,1.6863594000299655
99,Frame-wise detection,1.7169115856426087
