frame,reliable,raw_tl_x,raw_tl_y,raw_tr_x,raw_tr_y,raw_br_x,raw_br_y,raw_bl_x,raw_bl_y,interpolated_tl_x,interpolated_tl_y,interpolated_tr_x,interpolated_tr_y,interpolated_br_x,interpolated_br_y,interpolated_bl_x,interpolated_bl_y,smoothed_tl_x,smoothed_tl_y,smoothed_tr_x,smoothed_tr_y,smoothed_br_x,smoothed_br_y,smoothed_bl_x,smoothed_bl_y
0,True,148.0,69.0,1524.0,122.0,1552.0,825.0,187.0,985.0,148.0,69.0,1524.0,122.0,1552.0,825.0,187.0,985.0,148.0,69.0,1524.0,122.0,1552.0,825.0,187.0,985.0
1,True,145.9434814453125,69.42028045654297,1520.9559326171875,122.19705963134766,1548.940673828125,824.482421875,185.04934692382812,984.0618286132812,145.9434814453125,69.42028045654297,1520.9559326171875,122.19705963134766,1548.940673828125,824.482421875,185.04934692382812,984.0618286132812,145.9434814453125,69.42028045654297,1520.9559326171875,122.19705963134766,1548.940673828125,824.482421875,185.04934692382812,984.0618286132812
2,True,143.96975708007812,70.0299301147461,1517.7020263671875,122.58768463134766,1545.7391357421875,823.9354858398438,182.99952697753906,983.2413330078125,143.96975708007812,70.0299301147461,1517.7020263671875,122.58768463134766,1545.7391357421875,823.9354858398438,182.99952697753906,983.2413330078125,143.96975708007812,70.0299301147461,1517.7020263671875,122.58768463134766,1545.7391357421875,823.9354858398438,182.99952697753906,983.2413330078125
3,True,141.7744598388672,70.82962799072266,1514.5289306640625,122.9863510131836,1542.5152587890625,823.4613037109375,180.67230224609375,982.4432373046875,141.7744598388672,70.82962799072266,1514.5289306640625,122.9863510131836,1542.5152587890625,823.4613037109375,180.67230224609375,982.4432373046875,141.7744598388672,70.82962799072266,1514.5289306640625,122.9863510131836,1542.5152587890625,823.4613037109375,180.67230224609375,982.4432373046875
4,True,139.12750244140625,71.14705657958984,1511.2757568359375,123.16544342041016,1539.216064453125,822.8089599609375,177.92034912109375,981.40380859375,139.12750244140625,71.14705657958984,1511.2757568359375,123.16544342041016,1539.216064453125,822.8089599609375,177.92034912109375,981.40380859375,139.12750244140625,71.14705657958984,1511.2757568359375,123.16544342041016,1539.216064453125,822.8089599609375,177.92034912109375,981.40380859375
5,True,136.26846313476562,71.22692108154297,1507.87890625,123.09062957763672,1535.7635498046875,822.216796875,175.05723571777344,980.5626831054688,136.26846313476562,71.22692108154297,1507.87890625,123.09062957763672,1535.7635498046875,822.216796875,175.05723571777344,980.5626831054688,136.26846313476562,71.22692108154297,1507.87890625,123.09062957763672,1535.7635498046875,822.216796875,175.05723571777344,980.5626831054688
6,True,133.2707977294922,71.43212890625,1504.519775390625,123.2590103149414,1532.4114990234375,821.8463134765625,172.1187744140625,979.8781127929688,133.2707977294922,71.43212890625,1504.519775390625,123.2590103149414,1532.4114990234375,821.8463134765625,172.1187744140625,979.8781127929688,133.2707977294922,71.43212890625,1504.519775390625,123.2590103149414,1532.4114990234375,821.8463134765625,172.1187744140625,979.8781127929688
7,True,130.37808227539062,71.71858978271484,1501.28955078125,123.42939758300781,1529.33349609375,821.4198608398438,169.18426513671875,979.2057495117188,130.37808227539062,71.71858978271484,1501.28955078125,123.42939758300781,1529.33349609375,821.4198608398438,169.18426513671875,979.2057495117188,130.37808227539062,71.71858978271484,1501.28955078125,123.42939758300781,1529.33349609375,821.4198608398438,169.18426513671875,979.2057495117188
8,True,127.33233642578125,71.91896057128906,1498.172607421875,123.33134460449219,1526.281982421875,820.90380859375,166.20962524414062,978.4324340820312,127.33233642578125,71.91896057128906,1498.172607421875,123.33134460449219,1526.281982421875,820.90380859375,166.20962524414062,978.4324340820312,127.33233642578125,71.91896057128906,1498.172607421875,123.33134460449219,1526.281982421875,820.90380859375,166.20962524414062,978.4324340820312
9,True,124.11888122558594,72.08956909179688,1494.9375,123.35858154296875,1523.2010498046875,820.6807861328125,162.79885864257812,978.0709228515625,124.11888122558594,72.08956909179688,1494.9375,123.35858154296875,1523.2010498046875,820.6807861328125,162.79885864257812,978.0709228515625,124.11888122558594,72.08956909179688,1494.9375,123.35858154296875,1523.2010498046875,820.6807861328125,162.79885864257812,978.0709228515625
10,True,120.49301147460938,72.07740020751953,1491.898193359375,123.24565887451172,1520.116943359375,820.3516235351562,159.20030212402344,977.4568481445312,120.49301147460938,72.07740020751953,1491.898193359375,123.24565887451172,1520.116943359375,820.3516235351562,159.20030212402344,977.4568481445312,120.49301147460938,72.07740020751953,1491.898193359375,123.24565887451172,1520.116943359375,820.3516235351562,159.20030212402344,977.4568481445312
11,True,116.80532836914062,71.99363708496094,1488.7427978515625,123.04988861083984,1517.0836181640625,820.0900268554688,155.49017333984375,976.9456176757812,116.80532836914062,71.99363708496094,1488.7427978515625,123.04988861083984,1517.0836181640625,820.0900268554688,155.49017333984375,976.9456176757812,116.80532836914062,71.99363708496094,1488.7427978515625,123.04988861083984,1517.0836181640625,820.0900268554688,155.49017333984375,976.9456176757812
12,True,112.98509979248047,71.6570053100586,1485.471435546875,122.86786651611328,1513.9361572265625,819.7335205078125,151.63771057128906,976.3211059570312,112.98509979248047,71.6570053100586,1485.471435546875,122.86786651611328,1513.9361572265625,819.7335205078125,151.63771057128906,976.3211059570312,112.98509979248047,71.6570053100586,1485.471435546875,122.86786651611328,1513.9361572265625,819.7335205078125,151.63771057128906,976.3211059570312
13,True,109.22018432617188,71.16029357910156,1482.373046875,122.47545623779297,1510.8624267578125,819.3955078125,147.7599334716797,975.7516479492188,109.22018432617188,71.16029357910156,1482.373046875,122.47545623779297,1510.8624267578125,819.3955078125,147.7599334716797,975.7516479492188,109.22018432617188,71.16029357910156,1482.373046875,122.47545623779297,1510.8624267578125,819.3955078125,147.7599334716797,975.7516479492188
14,True,105.41238403320312,71.06324768066406,1479.177490234375,122.3564224243164,1507.5672607421875,819.1932373046875,143.82643127441406,975.4616088867188,105.41238403320312,71.06324768066406,1479.177490234375,122.3564224243164,1507.5672607421875,819.1932373046875,143.82643127441406,975.4616088867188,105.41238403320312,71.06324768066406,1479.177490234375,122.3564224243164,1507.5672607421875,819.1932373046875,143.82643127441406,975.4616088867188
15,True,101.25875854492188,71.0600357055664,1475.8548583984375,122.37125396728516,1504.1339111328125,819.114013671875,139.68902587890625,975.2560424804688,101.25875854492188,71.0600357055664,1475.8548583984375,122.37125396728516,1504.1339111328125,819.114013671875,139.68902587890625,975.2560424804688,101.25875854492188,71.0600357055664,1475.8548583984375,122.37125396728516,1504.1339111328125,819.114013671875,139.68902587890625,975.2560424804688
16,True,97.095703125,71.18214416503906,1472.19287109375,122.28083801269531,1500.69970703125,819.1583251953125,135.5177001953125,975.2069702148438,97.095703125,71.18214416503906,1472.19287109375,122.28083801269531,1500.69970703125,819.1583251953125,135.5177001953125,975.2069702148438,97.095703125,71.18214416503906,1472.19287109375,122.28083801269531,1500.69970703125,819.1583251953125,135.5177001953125,975.2069702148438
17,True,92.63617706298828,71.67597198486328,1468.7218017578125,122.44495391845703,1496.8709716796875,819.0931396484375,131.33506774902344,975.1804809570312,92.63617706298828,71.67597198486328,1468.7218017578125,122.44495391845703,1496.8709716796875,819.0931396484375,131.33506774902344,975.1804809570312,92.63617706298828,71.67597198486328,1468.7218017578125,122.44495391845703,1496.8709716796875,819.0931396484375,131.33506774902344,975.1804809570312
18,True,88.54357147216797,72.25928497314453,1464.6336669921875,122.90826416015625,1493.2703857421875,819.1317749023438,127.22914123535156,975.0209350585938,88.54357147216797,72.25928497314453,1464.6336669921875,122.90826416015625,1493.2703857421875,819.1317749023438,127.22914123535156,975.0209350585938,88.54357147216797,72.25928497314453,1464.6336669921875,122.90826416015625,1493.2703857421875,819.1317749023438,127.22914123535156,975.0209350585938
19,True,84.6817398071289,72.92318725585938,1460.938720703125,123.18595886230469,1489.6116943359375,819.0907592773438,123.54291534423828,975.0184326171875,84.6817398071289,72.92318725585938,1460.938720703125,123.18595886230469,1489.6116943359375,819.0907592773438,123.54291534423828,975.0184326171875,84.6817398071289,72.92318725585938,1460.938720703125,123.18595886230469,1489.6116943359375,819.0907592773438,123.54291534423828,975.0184326171875
