category,clip_id,method,method_status,processed_frames,elapsed_seconds,corner_rmse_px,quad_iou,aspect_relative_error,geometry_status,geometry_reason,translation_px,rotation_abs_deg,scale_abs_delta,temporal_status,temporal_reason,detail_status,detail_reason,frequency_status,frequency_reason
hard,hard_01,proposed,ok,300,36.10284979999415,191.82797813415527,0.8486554019093623,0.03210842198192434,ok,,0.026402502109331445,8.753302258629587e-05,5.828522185010015e-06,ok,,missing,missing metric json,missing,missing metric json
hard,hard_01,no_reliability_gates,ok,300,36.62469319999218,35.62507629394531,0.9683316124772136,0.001889309896139287,ok,,6.16479662034398,0.06254447008367439,0.003551450651550578,ok,,missing,missing metric json,missing,missing metric json
hard,hard_01,no_trajectory_smoothing,ok,300,34.979869500006316,191.82782173156738,0.8486554019093623,0.032108338502069365,ok,,0.040022547759924317,0.0001770470013818471,1.4362033369130778e-05,ok,,missing,missing metric json,missing,missing metric json
hard,hard_01,no_offline_repair,ok,300,35.7985042000073,191.82797813415527,0.8486554019093623,0.03210842198192434,ok,,0.026402502109331445,8.753302258629587e-05,5.828522185010015e-06,ok,,missing,missing metric json,missing,missing metric json
hard,hard_02,proposed,ok,300,35.807807799981674,191.82797813415527,0.8486554019093623,0.03210842198192434,ok,,0.026402502109331445,8.753302258629587e-05,5.828522185010015e-06,ok,,missing,missing metric json,missing,missing metric json
hard,hard_02,no_reliability_gates,ok,300,36.3075797999918,35.62507629394531,0.9683316124772136,0.001889309896139287,ok,,6.16479662034398,0.06254447008367439,0.003551450651550578,ok,,missing,missing metric json,missing,missing metric json
hard,hard_02,no_trajectory_smoothing,ok,300,35.73340569998254,191.82782173156738,0.8486554019093623,0.032108338502069365,ok,,0.040022547759924317,0.0001770470013818471,1.4362033369130778e-05,ok,,missing,missing metric json,missing,missing metric json
hard,hard_02,no_offline_repair,ok,300,35.5229498000117,191.82797813415527,0.8486554019093623,0.03210842198192434,ok,,0.026402502109331445,8.753302258629587e-05,5.828522185010015e-06,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_01,proposed,ok,300,40.560777600010624,2.6873496770858765,0.9973570640010823,0.0004902921891761421,ok,,3.2569149896142906,0.013685249323533542,0.0006321088139551159,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_01,no_reliability_gates,ok,300,34.23392809997313,2.6972442269325256,0.9973306299750683,0.0004903066791598306,ok,,3.2512705699993107,0.013640009353380715,0.000624101481647973,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_01,no_trajectory_smoothing,ok,300,39.14881230000174,2.5310176014900208,0.9972288228743293,0.0004221997188740047,ok,,3.403478421741136,0.014484411009219949,0.0007505450434416847,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_01,no_offline_repair,ok,300,40.240964900003746,2.6873496770858765,0.9973570640010823,0.0004902921891761421,ok,,3.2569149896142906,0.013685249323533542,0.0006321088139551159,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_02,proposed,ok,300,39.07441739999922,3.560397446155548,0.9966927856169095,0.0013714906460069675,ok,,4.45208077639421,0.011390975037672448,0.0006426871588317369,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_02,no_reliability_gates,ok,300,33.670438800007105,3.6414000391960144,0.9965347030754457,0.0012801996583639524,ok,,4.443117487390083,0.011302811840060186,0.0006257981255054921,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_02,no_trajectory_smoothing,ok,300,37.96566859999439,2.7877009212970734,0.997697713880193,0.0013423531237509482,ok,,4.715269219726562,0.012975475165076585,0.0008051163085849675,ok,,missing,missing metric json,missing,missing metric json
screen_video,screen_video_02,no_offline_repair,ok,300,38.72211959998822,3.560397446155548,0.9966927856169095,0.0013714906460069675,ok,,4.45208077639421,0.011390975037672448,0.0006426871588317369,ok,,missing,missing metric json,missing,missing metric json
scrolling,scrolling_01,proposed,ok,299,38.7904771999747,578.3390960693359,0.5642031242263417,0.018477695126684568,ok,,3.228341121396104,0.0024403382874887587,0.0002571039704541989,ok,,missing,missing metric json,missing,missing metric json
scrolling,scrolling_01,no_reliability_gates,ok,299,36.11609190001036,662.8655319213867,0.5135963814942528,0.017851447664575075,ok,,5.244586050352223,0.0034790122973916175,0.0007957823134129786,ok,,missing,missing metric json,missing,missing metric json
scrolling,scrolling_01,no_trajectory_smoothing,ok,299,42.14427010001964,579.5413665771484,0.5638277638257717,0.019066077840254696,ok,,3.6676703711993204,0.007066864708547482,0.0008656914756822087,ok,,missing,missing metric json,missing,missing metric json
scrolling,scrolling_01,no_offline_repair,ok,299,39.68353619999834,578.2185668945312,0.5642707295569482,0.018505630042791304,ok,,3.228989315829859,0.002436798784845475,0.0002592209172450044,ok,,missing,missing metric json,missing,missing metric json
scrolling,scrolling_02,proposed,ok,300,38.62727120000636,801.4821014404297,0.4432346335653137,0.019035230274959174,ok,,3.9796767357735274,0.012649198361346214,0.0003849010653207972,ok,,missing,missing metric json,missing,missing metric json
