"metric","category","clip_id","method","status","reason"
"geometry","hard","hard_01","proposed","ok",""
"temporal","hard","hard_01","proposed","ok",""
"geometry","hard","hard_01","no_reliability_gates","ok",""
"temporal","hard","hard_01","no_reliability_gates","ok",""
"geometry","hard","hard_01","no_trajectory_smoothing","ok",""
"temporal","hard","hard_01","no_trajectory_smoothing","ok",""
"geometry","hard","hard_01","no_offline_repair","ok",""
"temporal","hard","hard_01","no_offline_repair","ok",""
"geometry","hard","hard_02","proposed","ok",""
"temporal","hard","hard_02","proposed","ok",""
"geometry","hard","hard_02","no_reliability_gates","ok",""
"temporal","hard","hard_02","no_reliability_gates","ok",""
"geometry","hard","hard_02","no_trajectory_smoothing","ok",""
"temporal","hard","hard_02","no_trajectory_smoothing","ok",""
"geometry","hard","hard_02","no_offline_repair","ok",""
"temporal","hard","hard_02","no_offline_repair","ok",""
"geometry","screen_video","screen_video_01","proposed","ok",""
"temporal","screen_video","screen_video_01","proposed","ok",""
"geometry","screen_video","screen_video_01","no_reliability_gates","ok",""
"temporal","screen_video","screen_video_01","no_reliability_gates","ok",""
"geometry","screen_video","screen_video_01","no_trajectory_smoothing","ok",""
"temporal","screen_video","screen_video_01","no_trajectory_smoothing","ok",""
"geometry","screen_video","screen_video_01","no_offline_repair","ok",""
"temporal","screen_video","screen_video_01","no_offline_repair","ok",""
"geometry","screen_video","screen_video_02","proposed","ok",""
"temporal","screen_video","screen_video_02","proposed","ok",""
"geometry","screen_video","screen_video_02","no_reliability_gates","ok",""
"temporal","screen_video","screen_video_02","no_reliability_gates","ok",""
"geometry","screen_video","screen_video_02","no_trajectory_smoothing","ok",""
"temporal","screen_video","screen_video_02","no_trajectory_smoothing","ok",""
"geometry","screen_video","screen_video_02","no_offline_repair","ok",""
"temporal","screen_video","screen_video_02","no_offline_repair","ok",""
"geometry","scrolling","scrolling_01","proposed","ok",""
"temporal","scrolling","scrolling_01","proposed","ok",""
"geometry","scrolling","scrolling_01","no_reliability_gates","ok",""
"temporal","scrolling","scrolling_01","no_reliability_gates","ok",""
"geometry","scrolling","scrolling_01","no_trajectory_smoothing","ok",""
"temporal","scrolling","scrolling_01","no_trajectory_smoothing","ok",""
"geometry","scrolling","scrolling_01","no_offline_repair","ok",""
"temporal","scrolling","scrolling_01","no_offline_repair","ok",""
"geometry","scrolling","scrolling_02","proposed","ok",""
"temporal","scrolling","scrolling_02","proposed","ok",""
"geometry","scrolling","scrolling_02","no_reliability_gates","ok",""
"temporal","scrolling","scrolling_02","no_reliability_gates","ok",""
"geometry","scrolling","scrolling_02","no_trajectory_smoothing","ok",""
"temporal","scrolling","scrolling_02","no_trajectory_smoothing","ok",""
"geometry","scrolling","scrolling_02","no_offline_repair","ok",""
"temporal","scrolling","scrolling_02","no_offline_repair","ok",""
"geometry","static","static_01","proposed","ok",""
"temporal","static","static_01","proposed","ok",""
"geometry","static","static_01","no_reliability_gates","ok",""
"temporal","static","static_01","no_reliability_gates","ok",""
"geometry","static","static_01","no_trajectory_smoothing","ok",""
"temporal","static","static_01","no_trajectory_smoothing","ok",""
"geometry","static","static_01","no_offline_repair","ok",""
"temporal","static","static_01","no_offline_repair","ok",""
"geometry","static","static_02","proposed","ok",""
"temporal","static","static_02","proposed","ok",""
"geometry","static","static_02","no_reliability_gates","ok",""
"temporal","static","static_02","no_reliability_gates","ok",""
"geometry","static","static_02","no_trajectory_smoothing","ok",""
"temporal","static","static_02","no_trajectory_smoothing","ok",""
"geometry","static","static_02","no_offline_repair","ok",""
"temporal","static","static_02","no_offline_repair","ok",""
"geometry","weak_border","weak_border_01","proposed","ok",""
"temporal","weak_border","weak_border_01","proposed","ok",""
"geometry","weak_border","weak_border_01","no_reliability_gates","ok",""
"temporal","weak_border","weak_border_01","no_reliability_gates","ok",""
"geometry","weak_border","weak_border_01","no_trajectory_smoothing","ok",""
"temporal","weak_border","weak_border_01","no_trajectory_smoothing","ok",""
"geometry","weak_border","weak_border_01","no_offline_repair","ok",""
"temporal","weak_border","weak_border_01","no_offline_repair","ok",""
"geometry","weak_border","weak_border_02","proposed","ok",""
"temporal","weak_border","weak_border_02","proposed","ok",""
"geometry","weak_border","weak_border_02","no_reliability_gates","ok",""
"temporal","weak_border","weak_border_02","no_reliability_gates","ok",""
"geometry","weak_border","weak_border_02","no_trajectory_smoothing","ok",""
"temporal","weak_border","weak_border_02","no_trajectory_smoothing","ok",""
"geometry","weak_border","weak_border_02","no_offline_repair","ok",""
"temporal","weak_border","weak_border_02","no_offline_repair","ok",""
