metric,category,clip_id,method,status,reason
detail,hard,hard_01,proposed,missing,missing metric json
frequency,hard,hard_01,proposed,missing,missing metric json
detail,hard,hard_01,no_reliability_gates,missing,missing metric json
frequency,hard,hard_01,no_reliability_gates,missing,missing metric json
detail,hard,hard_01,no_trajectory_smoothing,missing,missing metric json
frequency,hard,hard_01,no_trajectory_smoothing,missing,missing metric json
detail,hard,hard_01,no_offline_repair,missing,missing metric json
frequency,hard,hard_01,no_offline_repair,missing,missing metric json
detail,hard,hard_02,proposed,missing,missing metric json
frequency,hard,hard_02,proposed,missing,missing metric json
detail,hard,hard_02,no_reliability_gates,missing,missing metric json
frequency,hard,hard_02,no_reliability_gates,missing,missing metric json
detail,hard,hard_02,no_trajectory_smoothing,missing,missing metric json
frequency,hard,hard_02,no_trajectory_smoothing,missing,missing metric json
detail,hard,hard_02,no_offline_repair,missing,missing metric json
frequency,hard,hard_02,no_offline_repair,missing,missing metric json
detail,screen_video,screen_video_01,proposed,missing,missing metric json
frequency,screen_video,screen_video_01,proposed,missing,missing metric json
detail,screen_video,screen_video_01,no_reliability_gates,missing,missing metric json
frequency,screen_video,screen_video_01,no_reliability_gates,missing,missing metric json
detail,screen_video,screen_video_01,no_trajectory_smoothing,missing,missing metric json
frequency,screen_video,screen_video_01,no_trajectory_smoothing,missing,missing metric json
detail,screen_video,screen_video_01,no_offline_repair,missing,missing metric json
frequency,screen_video,screen_video_01,no_offline_repair,missing,missing metric json
detail,screen_video,screen_video_02,proposed,missing,missing metric json
frequency,screen_video,screen_video_02,proposed,missing,missing metric json
detail,screen_video,screen_video_02,no_reliability_gates,missing,missing metric json
frequency,screen_video,screen_video_02,no_reliability_gates,missing,missing metric json
detail,screen_video,screen_video_02,no_trajectory_smoothing,missing,missing metric json
frequency,screen_video,screen_video_02,no_trajectory_smoothing,missing,missing metric json
detail,screen_video,screen_video_02,no_offline_repair,missing,missing metric json
frequency,screen_video,screen_video_02,no_offline_repair,missing,missing metric json
detail,scrolling,scrolling_01,proposed,missing,missing metric json
frequency,scrolling,scrolling_01,proposed,missing,missing metric json
detail,scrolling,scrolling_01,no_reliability_gates,missing,missing metric json
frequency,scrolling,scrolling_01,no_reliability_gates,missing,missing metric json
detail,scrolling,scrolling_01,no_trajectory_smoothing,missing,missing metric json
frequency,scrolling,scrolling_01,no_trajectory_smoothing,missing,missing metric json
detail,scrolling,scrolling_01,no_offline_repair,missing,missing metric json
frequency,scrolling,scrolling_01,no_offline_repair,missing,missing metric json
detail,scrolling,scrolling_02,proposed,missing,missing metric json
frequency,scrolling,scrolling_02,proposed,missing,missing metric json
detail,scrolling,scrolling_02,no_reliability_gates,missing,missing metric json
frequency,scrolling,scrolling_02,no_reliability_gates,missing,missing metric json
detail,scrolling,scrolling_02,no_trajectory_smoothing,missing,missing metric json
frequency,scrolling,scrolling_02,no_trajectory_smoothing,missing,missing metric json
detail,scrolling,scrolling_02,no_offline_repair,missing,missing metric json
frequency,scrolling,scrolling_02,no_offline_repair,missing,missing metric json
detail,static,static_01,proposed,missing,missing metric json
frequency,static,static_01,proposed,missing,missing metric json
detail,static,static_01,no_reliability_gates,missing,missing metric json
frequency,static,static_01,no_reliability_gates,missing,missing metric json
detail,static,static_01,no_trajectory_smoothing,missing,missing metric json
frequency,static,static_01,no_trajectory_smoothing,missing,missing metric json
detail,static,static_01,no_offline_repair,missing,missing metric json
frequency,static,static_01,no_offline_repair,missing,missing metric json
detail,static,static_02,proposed,missing,missing metric json
frequency,static,static_02,proposed,missing,missing metric json
detail,static,static_02,no_reliability_gates,missing,missing metric json
frequency,static,static_02,no_reliability_gates,missing,missing metric json
detail,static,static_02,no_trajectory_smoothing,missing,missing metric json
frequency,static,static_02,no_trajectory_smoothing,missing,missing metric json
detail,static,static_02,no_offline_repair,missing,missing metric json
frequency,static,static_02,no_offline_repair,missing,missing metric json
detail,weak_border,weak_border_01,proposed,missing,missing metric json
frequency,weak_border,weak_border_01,proposed,missing,missing metric json
detail,weak_border,weak_border_01,no_reliability_gates,missing,missing metric json
frequency,weak_border,weak_border_01,no_reliability_gates,missing,missing metric json
detail,weak_border,weak_border_01,no_trajectory_smoothing,missing,missing metric json
frequency,weak_border,weak_border_01,no_trajectory_smoothing,missing,missing metric json
detail,weak_border,weak_border_01,no_offline_repair,missing,missing metric json
frequency,weak_border,weak_border_01,no_offline_repair,missing,missing metric json
detail,weak_border,weak_border_02,proposed,missing,missing metric json
frequency,weak_border,weak_border_02,proposed,missing,missing metric json
detail,weak_border,weak_border_02,no_reliability_gates,missing,missing metric json
frequency,weak_border,weak_border_02,no_reliability_gates,missing,missing metric json
detail,weak_border,weak_border_02,no_trajectory_smoothing,missing,missing metric json
frequency,weak_border,weak_border_02,no_trajectory_smoothing,missing,missing metric json
detail,weak_border,weak_border_02,no_offline_repair,missing,missing metric json
frequency,weak_border,weak_border_02,no_offline_repair,missing,missing metric json
