category,clip_id,method,metric,status,reason,definition,rows,ok_rows,translation_px_mean,translation_px_p50,translation_px_p95,translation_px_max,rotation_abs_deg_mean,rotation_abs_deg_p50,rotation_abs_deg_p95,rotation_abs_deg_max,scale_abs_delta_mean,scale_abs_delta_p50,scale_abs_delta_p95,scale_abs_delta_max
hard,hard_01,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_01,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_01,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_02,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_02,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_02,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
screen_video,screen_video_01,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.8817329087335444,2.9704587403580875,12.123078934278345,17.438535039601653,0.02733722780317076,0.023035575845596058,0.06799880885313758,0.1502368099560097,0.0016058080420332077,0.0011414982093879145,0.004153946579824107,0.026200188787336653
screen_video,screen_video_01,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.3603667037375926,2.643037211139446,11.729647827198153,16.098302431971042,0.014395218509711904,0.011416732319788818,0.054214882046123285,0.07279870495259606,0.0007513074247652529,0.0005372046000691189,0.00239753345138912,0.003478816447014088
screen_video,screen_video_01,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.2569149896142906,2.591821396626457,11.72493854877574,15.86070388269927,0.013685249323533542,0.010939682297400525,0.05192639447814512,0.06889589248815821,0.0006321088139551159,0.0003219671710487093,0.0025799211418471957,0.0034780792603918975
screen_video,screen_video_02,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,5.344844846863354,4.473823425586455,12.110200507477172,19.53542771224043,0.026656176451375992,0.021076924867850493,0.07520399474093925,0.1392023172969186,0.0018450060198245241,0.0014040762825046071,0.004449306102516637,0.028965718783757755
screen_video,screen_video_02,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,4.673111710795595,4.074137544189327,11.073869750117568,12.374403140712513,0.012777174702470915,0.003775674237827438,0.06561553438459482,0.08463835152836724,0.0007704307357037207,0.0005450741178376628,0.0023302803874003294,0.003849294866366204
screen_video,screen_video_02,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,4.45208077639421,3.8317672721800107,10.321725921499771,11.51966575473426,0.011390975037672448,0.003050834404885508,0.05767430613311251,0.08025994201547758,0.0006426871588317369,0.0004954994949669667,0.0019600574013963943,0.002420685318821336
scrolling,scrolling_01,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,298,298,2.1621110783503577,1.790259570278919,4.633511081854215,34.33279153842493,0.021820215732548536,0.017865397480239752,0.05463567056522314,0.3088103263767368,0.001053872467807217,0.0007375987287548957,0.002427422235261437,0.035949452116047276
scrolling,scrolling_01,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,298,298,2.4801986298375747,2.2049408751949984,5.263839694429148,17.490403198429746,0.009542348125198774,0.006432763815701631,0.028738373948991532,0.09691933906085341,0.001211418029690771,0.0009309993517497284,0.003087424373193359,0.01122666622122448
scrolling,scrolling_01,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,298,298,3.228341121396104,3.468296836854904,6.146118472292386,6.93045727025327,0.0024403382874887587,0.0022161898285164615,0.006590832458419831,0.013814109342563694,0.0002571039704541989,0.0002761726095263928,0.0005826112600206872,0.0009999248528984594
scrolling,scrolling_02,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.333099275562252,2.648938782005477,7.526476824407517,25.53424426983224,0.0228921127923987,0.02075276831366524,0.056035878400499124,0.19833090512918597,0.001576763793305172,0.0011329558595420952,0.0038648644781710856,0.031576257988443324
scrolling,scrolling_02,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,2.5250950760932036,2.2532810907952587,5.663759782872691,7.871762668595243,0.012006616688148281,0.012396831469209989,0.023010955752413267,0.04503909584935782,0.0006982130424077131,0.000627071696104764,0.0014387476247973824,0.002723458507756238
scrolling,scrolling_02,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.9796767357735274,5.2835931877621345,9.265618800018784,9.924183649428185,0.012649198361346214,0.012111245257661035,0.030912765594480304,0.03346390758159087,0.0003849010653207972,8.094633089794634e-05,0.001225469413853708,0.0018752236770605002
static,static_01,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,5.717597453151922,3.4607011810662085,16.65064667892202,51.64372067417825,0.04365682240235283,0.025887008854286457,0.11154799398165413,0.9363793432524365,0.0034874881335141823,0.0015162292511630149,0.006244956613117217,0.13835939481299064
static,static_01,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,5.139808132803765,4.183149347610182,14.275982680309351,17.74767773629021,0.027921189912086322,0.016471758706183417,0.09166926324171992,0.10588055762758307,0.0015077739834733206,0.0009929947999097744,0.004209582687987589,0.009843721187329901
static,static_01,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,5.162153390110322,4.173444757860677,14.502877959657097,17.171827421511452,0.026958651272075574,0.015171546095672823,0.08784168775667,0.10272708860753531,0.001348902039529766,0.00080867702735965,0.0042924910111003635,0.004452513204370567
static,static_02,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,4.705768297986154,2.6954334331625374,14.77666837246047,56.94639823847498,0.034448409704956696,0.019369546806990552,0.14782652818770775,0.46313401795659065,0.005446006229140776,0.001286120800724655,0.05727111297534039,0.10211392159570232
static,static_02,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,2.755380708770033,2.252670362622148,6.668504426083592,7.998084605473178,0.00888063285173407,0.007419206455103111,0.019610680931570087,0.042744571152955636,0.0008285170969238674,0.00046625198070282536,0.0022939360012132325,0.007878914123116254
static,static_02,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,2.6438370692994666,2.2856737654470565,6.170090469915353,6.616474561812461,0.007758288445037944,0.008253160509387314,0.018615496641327455,0.021854898789971485,0.0005421292044297332,0.00038146067403821426,0.0018496776249225407,0.0020862631866791492
weak_border,weak_border_01,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.640974962859013,0.7766967866989453,8.335719185965486,455.035153270201,0.03801192196594704,0.0026785405333033903,0.0834423998226545,5.478373179667442,0.001442267384392854,0.00014890067875816815,0.005976335124234457,0.029348245537242246
weak_border,weak_border_01,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,14.060003419986696,7.803620275607668,44.718816601906454,143.68899184995226,0.09459418955795149,0.0436704833820441,0.3919748398472352,0.7263088828797364,0.008808793162117861,0.004158285348671464,0.030351462371511487,0.1088642055955572
weak_border,weak_border_01,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.028793279052015962,1.2612417935603645e-14,1.2612417935603645e-14,1.4785911987936853,0.00025203535321354344,1.4530087604246995e-16,1.4530087604246995e-16,0.012429446803558087,1.9175729829816463e-05,0.0,0.0,0.0008920690925801056
weak_border,weak_border_02,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,2.441422266775947,2.2718380219393444,5.122776920499796,10.491353251370244,0.0271438738017558,0.021421549959275945,0.07198611433407193,0.14272556374288414,0.0015448478487627047,0.0011901474803670542,0.0037448151022512776,0.015575474208033846
weak_border,weak_border_02,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.413954036391965,8.63763076421428,35.794382980842094,140.47847312130082,0.04805085534138367,0.028633507104405743,0.15260430346133078,0.3891941210664718,0.008308645491094236,0.005403843466870395,0.025545814363932186,0.10018331612490305
weak_border,weak_border_02,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.005159921158934343,8.480152722314453e-15,8.480152722314453e-15,0.3086084340260734,0.00015087311161891684,8.483248147628775e-17,8.483248147628775e-17,0.009034357056092065,7.86944695099665e-07,0.0,0.0,4.740257793023339e-05
