"category","clip_id","method","method_status","processed_frames","video_frames","frame_match","width","height"
"hard","hard_01","no_offline_repair","ok","348","348","True","1920","1080"
"hard","hard_01","no_reliability_gates","ok","348","348","True","1920","1080"
"hard","hard_01","no_trajectory_smoothing","ok","348","348","True","1920","1080"
"hard","hard_01","proposed","ok","348","348","True","1920","1080"
"screen_video","screen_video_03_000","no_offline_repair","ok","660","660","True","1920","1080"
"screen_video","screen_video_03_000","no_reliability_gates","ok","660","660","True","1920","1080"
"screen_video","screen_video_03_000","no_trajectory_smoothing","ok","660","660","True","1920","1080"
"screen_video","screen_video_03_000","proposed","ok","660","660","True","1920","1080"
"scrolling","scrolling_03_000","no_offline_repair","ok","660","660","True","1920","1080"
"scrolling","scrolling_03_000","no_reliability_gates","ok","660","660","True","1920","1080"
"scrolling","scrolling_03_000","no_trajectory_smoothing","ok","660","660","True","1920","1080"
"scrolling","scrolling_03_000","proposed","ok","660","660","True","1920","1080"
"static","static_02_000","no_offline_repair","ok","1309","1309","True","1920","1080"
"static","static_02_000","no_reliability_gates","ok","1309","1309","True","1920","1080"
"static","static_02_000","no_trajectory_smoothing","ok","1309","1309","True","1920","1080"
"static","static_02_000","proposed","ok","1309","1309","True","1920","1080"
