metric,direction,method,n,median,q1,q3,mean,std
geometry,lower,frame_wise,45,32.555110454559326,8.977789044380188,205.82771682739258,126.24998449970175,183.64171834386204
geometry,lower,optical_flow,45,34.87980604171753,27.789369106292725,167.78242778778076,121.2981820517116,169.56999094025718
geometry,lower,proposed,45,191.82797813415527,3.560397446155548,206.26935958862305,234.58963398580195,315.20610238176477
temporal,lower,frame_wise,50,4.8857215339662226,3.640974962859013,8.353794740693312,7.508439835242802,8.538682729691635
temporal,lower,optical_flow,50,12.310836663696794,4.135976542716212,13.648491074088014,10.924575012793039,8.103558426876395
temporal,lower,proposed,50,0.25447966479331585,0.026402502109331445,3.4108209212392913,1.6549941652613245,1.8887571858064462
detail,higher,frame_wise,50,0.4936497431234984,0.40854371293866015,0.6559615814699045,0.5480922194964565,0.20518315975555693
detail,higher,optical_flow,50,0.4821467059344344,0.4585758427520347,0.639894638597365,0.5451636457603725,0.16934894840937445
detail,higher,proposed,50,0.3466151432480137,0.19152191283982967,0.7947388316660804,0.48705931452991413,0.2936679425199019
frequency,lower,frame_wise,50,0.9444444444444444,0.0,2.2777777777777777,1.9866666666666668,3.0001797208282097
frequency,lower,optical_flow,50,0.5555555555555556,0.0,1.0,1.84,3.32100213454111
frequency,lower,proposed,50,0.5555555555555556,0.0,1.3333333333333333,1.1311111111111112,1.7208413745993936
