category,clip_id,status,reason,report
hard,hard_01,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_01\report.html
hard,hard_02,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_02\report.html
hard,hard_03,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_03\report.html
hard,hard_04,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_04\report.html
hard,hard_05,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_05\report.html
hard,hard_06,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_06\report.html
hard,hard_07,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_07\report.html
hard,hard_08,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_08\report.html
hard,hard_09,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_09\report.html
hard,hard_10,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\hard\hard_10\report.html
screen_video,screen_video_01,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_01\report.html
screen_video,screen_video_02,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_02\report.html
screen_video,screen_video_03,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_03\report.html
screen_video,screen_video_04,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_04\report.html
screen_video,screen_video_05,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_05\report.html
screen_video,screen_video_06,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_06\report.html
screen_video,screen_video_07,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_07\report.html
screen_video,screen_video_08,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_08\report.html
screen_video,screen_video_09,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_09\report.html
screen_video,screen_video_10,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\screen_video\screen_video_10\report.html
scrolling,scrolling_01,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_01\report.html
scrolling,scrolling_02,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_02\report.html
scrolling,scrolling_03,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_03\report.html
scrolling,scrolling_04,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_04\report.html
scrolling,scrolling_05,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_05\report.html
scrolling,scrolling_06,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_06\report.html
scrolling,scrolling_07,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_07\report.html
scrolling,scrolling_08,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_08\report.html
scrolling,scrolling_09,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_09\report.html
scrolling,scrolling_10,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\scrolling\scrolling_10\report.html
static,static_01,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\static\static_01\report.html
static,static_02,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\static\static_02\report.html
static,static_03,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\static\static_03\report.html
static,static_04,ok,,D:\2522\ECE4512\ourproject\screen-normalize\runs\20260714_full_pipeline_first_pass\static\static_04\report.html
