category,clip_id,method,metric,status,reason,sampled_frames,rows,ok_rows,fft_angle_separation_deg_mean,fft_angle_separation_deg_p50,fft_angle_separation_deg_p95,fft_angle_separation_deg_max,fft_orthogonality_error_deg_mean,fft_orthogonality_error_deg_p50,fft_orthogonality_error_deg_p95,fft_orthogonality_error_deg_max,fft_axis_alignment_error_deg_mean,fft_axis_alignment_error_deg_p50,fft_axis_alignment_error_deg_p95,fft_axis_alignment_error_deg_max,fft_primary_weight_share_mean,fft_primary_weight_share_p50,fft_primary_weight_share_p95,fft_primary_weight_share_max,fft_peak_count_mean,fft_peak_count_p50,fft_peak_count_p95,fft_peak_count_max,interpretation,initialization_frame_excluded,video_frame_count
hard,hard_01,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_01,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_01,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_02,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_02,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_02,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_03,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_03,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_03,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_04,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_04,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_04,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_05,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_05,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_05,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_06,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_06,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_06,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_07,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_07,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_07,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_08,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_08,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_08,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_09,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_09,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_09,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_10,frame_wise,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05101657054889038,0.05088975419464832,0.05222271745737651,0.05228094638566156,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_10,optical_flow,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050750197047398755,0.05134176272106669,0.052396968863498476,0.052432517347450976,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
hard,hard_10,proposed,frequency,ok,,9,9,9,88.66666666666667,88.0,90.0,90.0,1.3333333333333333,2.0,3.0,3.0,0.6666666666666666,1.0,1.5,1.5,0.05628830439437607,0.05639915079691024,0.06260935887964271,0.06444417239079239,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_01,frame_wise,frequency,ok,,9,9,9,89.44444444444444,89.0,90.0,90.0,0.5555555555555556,1.0,1.0,1.0,0.2777777777777778,0.5,0.5,0.5,0.10976110235006664,0.11528057103712445,0.1367497350172365,0.1481695223958136,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_01,optical_flow,frequency,ok,,9,9,9,89.44444444444444,89.0,90.0,90.0,0.5555555555555556,1.0,1.0,1.0,0.2777777777777778,0.5,0.5,0.5,0.11041429967044869,0.11389321924867471,0.13605995985486968,0.14727243590693478,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_01,proposed,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085735446568332,0.10463736339673536,0.12396756124428591,0.13260084182147144,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_02,frame_wise,frequency,ok,,9,9,9,89.77777777777777,90.0,90.0,90.0,0.2222222222222222,0.0,1.0,1.0,0.1111111111111111,0.0,0.5,0.5,0.10986680441783113,0.10735866675735847,0.12774688537830642,0.13061132344985335,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_02,optical_flow,frequency,ok,,9,9,9,89.55555555555556,90.0,90.0,90.0,0.4444444444444444,0.0,1.0,1.0,0.2222222222222222,0.0,0.5,0.5,0.10957547186173029,0.1100446520776189,0.12759179376753307,0.13056292683755563,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_02,proposed,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10576044487434769,0.1015276981312576,0.12359805032570105,0.12472306579699395,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_03,frame_wise,frequency,ok,,9,9,9,89.0,89.0,90.0,90.0,1.0,1.0,2.799999999999999,4.0,1.1666666666666667,0.5,3.6999999999999993,4.5,0.09608397241037496,0.09909466585981182,0.11301692314768509,0.11662096994046334,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_03,optical_flow,frequency,ok,,9,9,9,89.22222222222223,89.0,90.0,90.0,0.7777777777777778,1.0,1.5999999999999996,2.0,0.6111111111111112,0.5,1.9999999999999991,3.0,0.08917451983272964,0.0873748685166679,0.10534581918078155,0.11082861054964703,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_03,proposed,frequency,ok,,9,9,9,89.66666666666667,90.0,90.0,90.0,0.3333333333333333,0.0,1.0,1.0,0.16666666666666666,0.0,0.5,0.5,0.08830506500360091,0.08699404381001269,0.10546031705599856,0.10910354821018624,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_04,frame_wise,frequency,ok,,9,9,9,89.88888888888889,90.0,90.0,90.0,0.1111111111111111,0.0,0.5999999999999996,1.0,0.05555555555555555,0.0,0.2999999999999998,0.5,0.09518193426136655,0.08997573375423255,0.11858613903132202,0.12519819227607615,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
