category,clip_id,source_name,start_seconds,duration_seconds,target_path
scrolling,scrolling_01,VID20260712165829.mp4,0.000,4.983,inputs/scrolling/scrolling_01.mp4
scrolling,scrolling_02,VID20260712165829.mp4,5.000,5.000,inputs/scrolling/scrolling_02.mp4
scrolling,scrolling_03,VID20260712165829.mp4,10.000,5.000,inputs/scrolling/scrolling_03.mp4
scrolling,scrolling_04,VID20260712165829.mp4,15.000,4.983,inputs/scrolling/scrolling_04.mp4
scrolling,scrolling_05,VID20260712165829.mp4,20.000,4.983,inputs/scrolling/scrolling_05.mp4
scrolling,scrolling_06,VID20260712165829.mp4,25.000,5.000,inputs/scrolling/scrolling_06.mp4
scrolling,scrolling_07,VID20260712165829.mp4,30.000,5.000,inputs/scrolling/scrolling_07.mp4
scrolling,scrolling_08,VID20260712165829.mp4,35.000,4.983,inputs/scrolling/scrolling_08.mp4
scrolling,scrolling_09,VID20260712165829.mp4,40.000,4.983,inputs/scrolling/scrolling_09.mp4
scrolling,scrolling_10,VID20260712165829.mp4,45.000,5.000,inputs/scrolling/scrolling_10.mp4
screen_video,screen_video_01,VID20260712170039.mp4,0.000,5.000,inputs/screen_video/screen_video_01.mp4
screen_video,screen_video_02,VID20260712170039.mp4,5.000,5.000,inputs/screen_video/screen_video_02.mp4
screen_video,screen_video_03,VID20260712170039.mp4,10.000,4.983,inputs/screen_video/screen_video_03.mp4
screen_video,screen_video_04,VID20260712170039.mp4,15.000,4.983,inputs/screen_video/screen_video_04.mp4
screen_video,screen_video_05,VID20260712170039.mp4,20.000,5.000,inputs/screen_video/screen_video_05.mp4
screen_video,screen_video_06,VID20260712170115.mp4,0.000,5.000,inputs/screen_video/screen_video_06.mp4
screen_video,screen_video_07,VID20260712170115.mp4,5.000,5.000,inputs/screen_video/screen_video_07.mp4
screen_video,screen_video_08,VID20260712170115.mp4,10.000,4.983,inputs/screen_video/screen_video_08.mp4
screen_video,screen_video_09,VID20260712170115.mp4,15.000,4.983,inputs/screen_video/screen_video_09.mp4
screen_video,screen_video_10,VID20260712170115.mp4,20.000,5.000,inputs/screen_video/screen_video_10.mp4
static,static_01,VID20260712170254.mp4,0.000,5.000,inputs/static/static_01.mp4
static,static_02,VID20260712170303.mp4,0.000,5.000,inputs/static/static_02.mp4
static,static_03,VID20260712170318.mp4,0.000,5.000,inputs/static/static_03.mp4
static,static_04,VID20260712170428.mp4,0.000,5.000,inputs/static/static_04.mp4
static,static_05,VID20260712170444.mp4,0.000,5.000,inputs/static/static_05.mp4
static,static_06,VID20260712170211.mp4,0.000,5.000,inputs/static/static_06.mp4
static,static_07,VID20260712170211.mp4,5.000,5.000,inputs/static/static_07.mp4
static,static_08,VID20260712170211.mp4,10.000,4.983,inputs/static/static_08.mp4
static,static_09,VID20260712170211.mp4,15.000,4.983,inputs/static/static_09.mp4
static,static_10,VID20260712170211.mp4,20.000,5.000,inputs/static/static_10.mp4
weak_border,weak_border_01,VID20260712170738.mp4,0.000,5.000,inputs/weak_border/weak_border_01.mp4
weak_border,weak_border_02,VID20260712170803.mp4,0.000,5.000,inputs/weak_border/weak_border_02.mp4
weak_border,weak_border_03,VID20260712170822.mp4,0.000,5.000,inputs/weak_border/weak_border_03.mp4
weak_border,weak_border_04,VID20260712170854.mp4,0.000,5.000,inputs/weak_border/weak_border_04.mp4
weak_border,weak_border_05,VID20260712170915.mp4,0.000,5.000,inputs/weak_border/weak_border_05.mp4
