category,clip_id,old_source,new_source,segment_count,annotation_count,role
static,static_01,inputs/static/IMG_0957.MOV,inputs/archive/removed_unannotated_2026-07-14/static/static_01.mp4,7,0,archived_unannotated_backup
static,static_02,inputs/static/IMG_0974.MOV,inputs/static/static_02.mp4,2,2,representative_with_report
static,static_03,inputs/static/VID20260712170254.mp4,inputs/archive/removed_unannotated_2026-07-14/static/static_03.mp4,0,0,archived_unannotated_backup
scrolling,scrolling_01,inputs/scrolling/IMG_0958.MOV,inputs/archive/removed_unannotated_2026-07-14/scrolling/scrolling_01.mp4,3,0,archived_unannotated_backup
scrolling,scrolling_02,inputs/scrolling/IMG_0959.MOV,inputs/archive/removed_unannotated_2026-07-14/scrolling/scrolling_02.mp4,1,0,archived_unannotated_backup
scrolling,scrolling_03,inputs/scrolling/VID20260712165829.mp4,inputs/scrolling/scrolling_03.mp4,5,4,representative_with_report
screen_video,screen_video_01,inputs/screen_video/IMG_0963 (1).MOV,inputs/archive/removed_unannotated_2026-07-14/screen_video/screen_video_01.mp4,6,0,archived_unannotated_backup
screen_video,screen_video_02,inputs/screen_video/IMG_0968.MOV,inputs/archive/removed_unannotated_2026-07-14/screen_video/screen_video_02.mp4,6,0,archived_unannotated_backup
screen_video,screen_video_03,inputs/screen_video/VID20260712170039.mp4,inputs/screen_video/screen_video_03.mp4,3,3,representative_with_report
weak_border,weak_border_01,inputs/weak_border/IMG_0964.MOV,inputs/archive/removed_unannotated_2026-07-14/weak_border/weak_border_01.mp4,1,0,archived_unannotated_backup
hard,hard_01,inputs/hard/moire/VID20260712170803.mp4,inputs/hard/hard_01.mp4,1,2,representative_with_report
