"metric","category","clip_id","method","status","reason"
"geometry","hard","hard_01","proposed","ok",
"temporal","hard","hard_01","proposed","ok",
"detail","hard","hard_01","proposed","ok",
"frequency","hard","hard_01","proposed","ok",
"geometry","hard","hard_01","no_reliability_gates","ok",
"temporal","hard","hard_01","no_reliability_gates","ok",
"detail","hard","hard_01","no_reliability_gates","ok",
"frequency","hard","hard_01","no_reliability_gates","ok",
"geometry","hard","hard_01","no_trajectory_smoothing","ok",
"temporal","hard","hard_01","no_trajectory_smoothing","ok",
"detail","hard","hard_01","no_trajectory_smoothing","ok",
"frequency","hard","hard_01","no_trajectory_smoothing","ok",
"geometry","hard","hard_01","no_offline_repair","ok",
"temporal","hard","hard_01","no_offline_repair","ok",
"detail","hard","hard_01","no_offline_repair","ok",
"frequency","hard","hard_01","no_offline_repair","ok",
"geometry","hard","hard_02","proposed","ok",
"temporal","hard","hard_02","proposed","ok",
"detail","hard","hard_02","proposed","ok",
"frequency","hard","hard_02","proposed","ok",
"geometry","hard","hard_02","no_reliability_gates","ok",
"temporal","hard","hard_02","no_reliability_gates","ok",
"detail","hard","hard_02","no_reliability_gates","ok",
"frequency","hard","hard_02","no_reliability_gates","ok",
"geometry","hard","hard_02","no_trajectory_smoothing","ok",
"temporal","hard","hard_02","no_trajectory_smoothing","ok",
"detail","hard","hard_02","no_trajectory_smoothing","ok",
"frequency","hard","hard_02","no_trajectory_smoothing","ok",
"geometry","hard","hard_02","no_offline_repair","ok",
"temporal","hard","hard_02","no_offline_repair","ok",
"detail","hard","hard_02","no_offline_repair","ok",
"frequency","hard","hard_02","no_offline_repair","ok",
"geometry","hard","hard_03","proposed","ok",
"temporal","hard","hard_03","proposed","ok",
"detail","hard","hard_03","proposed","ok",
"frequency","hard","hard_03","proposed","ok",
"geometry","hard","hard_03","no_reliability_gates","ok",
"temporal","hard","hard_03","no_reliability_gates","ok",
"detail","hard","hard_03","no_reliability_gates","ok",
"frequency","hard","hard_03","no_reliability_gates","ok",
"geometry","hard","hard_03","no_trajectory_smoothing","ok",
"temporal","hard","hard_03","no_trajectory_smoothing","ok",
"detail","hard","hard_03","no_trajectory_smoothing","ok",
"frequency","hard","hard_03","no_trajectory_smoothing","ok",
"geometry","hard","hard_03","no_offline_repair","ok",
"temporal","hard","hard_03","no_offline_repair","ok",
"detail","hard","hard_03","no_offline_repair","ok",
"frequency","hard","hard_03","no_offline_repair","ok",
"geometry","hard","hard_04","proposed","ok",
"temporal","hard","hard_04","proposed","ok",
"detail","hard","hard_04","proposed","ok",
"frequency","hard","hard_04","proposed","ok",
"geometry","hard","hard_04","no_reliability_gates","ok",
"temporal","hard","hard_04","no_reliability_gates","ok",
"detail","hard","hard_04","no_reliability_gates","ok",
"frequency","hard","hard_04","no_reliability_gates","ok",
"geometry","hard","hard_04","no_trajectory_smoothing","ok",
"temporal","hard","hard_04","no_trajectory_smoothing","ok",
"detail","hard","hard_04","no_trajectory_smoothing","ok",
"frequency","hard","hard_04","no_trajectory_smoothing","ok",
"geometry","hard","hard_04","no_offline_repair","ok",
"temporal","hard","hard_04","no_offline_repair","ok",
"detail","hard","hard_04","no_offline_repair","ok",
"frequency","hard","hard_04","no_offline_repair","ok",
"geometry","hard","hard_05","proposed","ok",
"temporal","hard","hard_05","proposed","ok",
"detail","hard","hard_05","proposed","ok",
"frequency","hard","hard_05","proposed","ok",
"geometry","hard","hard_05","no_reliability_gates","ok",
"temporal","hard","hard_05","no_reliability_gates","ok",
"detail","hard","hard_05","no_reliability_gates","ok",
"frequency","hard","hard_05","no_reliability_gates","ok",
"geometry","hard","hard_05","no_trajectory_smoothing","ok",
"temporal","hard","hard_05","no_trajectory_smoothing","ok",
"detail","hard","hard_05","no_trajectory_smoothing","ok",
"frequency","hard","hard_05","no_trajectory_smoothing","ok",
"geometry","hard","hard_05","no_offline_repair","ok",
