"metric","category","clip_id","method","status","reason"
"geometry","hard","hard_01","frame_wise","ok",
"geometry","hard","hard_01","optical_flow","ok",
"geometry","hard","hard_01","proposed","ok",
"geometry","hard","hard_02","frame_wise","ok",
"geometry","hard","hard_02","optical_flow","ok",
"geometry","hard","hard_02","proposed","ok",
"geometry","hard","hard_03","frame_wise","ok",
"geometry","hard","hard_03","optical_flow","ok",
"geometry","hard","hard_03","proposed","ok",
"geometry","hard","hard_04","frame_wise","ok",
"geometry","hard","hard_04","optical_flow","ok",
"geometry","hard","hard_04","proposed","ok",
"geometry","hard","hard_05","frame_wise","ok",
"geometry","hard","hard_05","optical_flow","ok",
"geometry","hard","hard_05","proposed","ok",
"geometry","hard","hard_06","frame_wise","ok",
"geometry","hard","hard_06","optical_flow","ok",
"geometry","hard","hard_06","proposed","ok",
"geometry","hard","hard_07","frame_wise","ok",
"geometry","hard","hard_07","optical_flow","ok",
"geometry","hard","hard_07","proposed","ok",
"geometry","hard","hard_08","frame_wise","ok",
"geometry","hard","hard_08","optical_flow","ok",
"geometry","hard","hard_08","proposed","ok",
"geometry","hard","hard_09","frame_wise","ok",
"geometry","hard","hard_09","optical_flow","ok",
"geometry","hard","hard_09","proposed","ok",
"geometry","hard","hard_10","frame_wise","ok",
"geometry","hard","hard_10","optical_flow","ok",
"geometry","hard","hard_10","proposed","ok",
"geometry","screen_video","screen_video_01","frame_wise","ok",
"geometry","screen_video","screen_video_01","optical_flow","ok",
"geometry","screen_video","screen_video_01","proposed","ok",
"geometry","screen_video","screen_video_02","frame_wise","ok",
"geometry","screen_video","screen_video_02","optical_flow","ok",
"geometry","screen_video","screen_video_02","proposed","ok",
"geometry","screen_video","screen_video_03","frame_wise","ok",
"geometry","screen_video","screen_video_03","optical_flow","ok",
"geometry","screen_video","screen_video_03","proposed","ok",
"geometry","screen_video","screen_video_04","frame_wise","ok",
"geometry","screen_video","screen_video_04","optical_flow","ok",
"geometry","screen_video","screen_video_04","proposed","ok",
"geometry","screen_video","screen_video_05","frame_wise","ok",
"geometry","screen_video","screen_video_05","optical_flow","ok",
"geometry","screen_video","screen_video_05","proposed","ok",
"geometry","screen_video","screen_video_06","frame_wise","ok",
"geometry","screen_video","screen_video_06","optical_flow","ok",
"geometry","screen_video","screen_video_06","proposed","ok",
"geometry","screen_video","screen_video_07","frame_wise","ok",
"geometry","screen_video","screen_video_07","optical_flow","ok",
"geometry","screen_video","screen_video_07","proposed","ok",
"geometry","screen_video","screen_video_08","frame_wise","ok",
"geometry","screen_video","screen_video_08","optical_flow","ok",
"geometry","screen_video","screen_video_08","proposed","ok",
"geometry","screen_video","screen_video_09","frame_wise","ok",
"geometry","screen_video","screen_video_09","optical_flow","ok",
"geometry","screen_video","screen_video_09","proposed","ok",
"geometry","screen_video","screen_video_10","frame_wise","ok",
"geometry","screen_video","screen_video_10","optical_flow","ok",
"geometry","screen_video","screen_video_10","proposed","ok",
"geometry","scrolling","scrolling_01","frame_wise","ok",
"geometry","scrolling","scrolling_01","optical_flow","ok",
"geometry","scrolling","scrolling_01","proposed","ok",
"geometry","scrolling","scrolling_02","frame_wise","ok",
"geometry","scrolling","scrolling_02","optical_flow","ok",
"geometry","scrolling","scrolling_02","proposed","ok",
"geometry","scrolling","scrolling_03","frame_wise","ok",
"geometry","scrolling","scrolling_03","optical_flow","ok",
"geometry","scrolling","scrolling_03","proposed","ok",
"geometry","scrolling","scrolling_04","frame_wise","ok",
"geometry","scrolling","scrolling_04","optical_flow","ok",
"geometry","scrolling","scrolling_04","proposed","ok",
"geometry","scrolling","scrolling_05","frame_wise","ok",
"geometry","scrolling","scrolling_05","optical_flow","ok",
"geometry","scrolling","scrolling_05","proposed","ok",
"geometry","scrolling","scrolling_06","frame_wise","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_06","optical_flow","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_06","proposed","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_07","frame_wise","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_07","optical_flow","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_07","proposed","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_08","frame_wise","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_08","optical_flow","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_08","proposed","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_09","frame_wise","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_09","optical_flow","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_09","proposed","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_10","frame_wise","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_10","optical_flow","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","scrolling","scrolling_10","proposed","skipped","only initialization-frame annotation is available after excluding frame 0"
"geometry","static","static_01","frame_wise","ok",
"geometry","static","static_01","optical_flow","ok",
"geometry","static","static_01","proposed","ok",
"geometry","static","static_02","frame_wise","ok",
"geometry","static","static_02","optical_flow","ok",
"geometry","static","static_02","proposed","ok",
"geometry","static","static_03","frame_wise","ok",
"geometry","static","static_03","optical_flow","ok",
"geometry","static","static_03","proposed","ok",
"geometry","static","static_04","frame_wise","ok",
"geometry","static","static_04","optical_flow","ok",
"geometry","static","static_04","proposed","ok",
"geometry","static","static_05","frame_wise","ok",
"geometry","static","static_05","optical_flow","ok",
"geometry","static","static_05","proposed","ok",
"geometry","static","static_06","frame_wise","ok",
"geometry","static","static_06","optical_flow","ok",
"geometry","static","static_06","proposed","ok",
"geometry","static","static_07","frame_wise","ok",
"geometry","static","static_07","optical_flow","ok",
"geometry","static","static_07","proposed","ok",
"geometry","static","static_08","frame_wise","ok",
"geometry","static","static_08","optical_flow","ok",
