"metric","category","clip_id","method","status","reason"
"geometry","scrolling","scrolling_06","frame_wise","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_06","optical_flow","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_06","proposed","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_07","frame_wise","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_07","optical_flow","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_07","proposed","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_08","frame_wise","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_08","optical_flow","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_08","proposed","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_09","frame_wise","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_09","optical_flow","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_09","proposed","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_10","frame_wise","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_10","optical_flow","skipped","no overlapping annotation and estimate frames"
"geometry","scrolling","scrolling_10","proposed","skipped","no overlapping annotation and estimate frames"
